Plot,Feeder,Time,Invasive,Veg Type,Species,Height,Browse
WS7,N,2018,Native,Vine,HempVine,5,
WS7,N,2018,Native,Vine,HempVine,5,
WS8,Y,2018,Invasive,Vine,Japanese Honeysuckle,20,
WS8,Y,2018,Invasive,Vine,Japanese Honeysuckle,10,
WS8,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS8,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS8,Y,2018,Invasive,Vine,Japanese Honeysuckle,10,
WS8,N,2018,Native,Vine,Blackberry,30,
WS8,N,2018,Invasive,Vine,Japanese Honeysuckle,32,
D1,Y,2018,Native,Tree,Red Oak,22,
D1,Y,2018,Native,Vine,Poison Ivy,8,
D1,Y,2018,Native,Vine,Poison Ivy,12,
D1,Y,2018,Native,Vine,Poison Ivy,30,
D1,Y,2018,Native,Vine,Crossvine,8,
D1,Y,2018,Native,Vine,Crossvine,7,
D1,Y,2018,Native,Forb,Hog Peanut,10,
D1,Y,2018,Native,Vine,Peppervine,27,
D1,Y,2018,Native,Shrub,Deerberry,30,
D1,Y,2018,Native,Grass,Switchcane,27,
D1,Y,2018,Native,Grass,River Oats,84,
D1,Y,2018,Native,Forb,Unknown 1,10,
D1,Y,2018,Native,Forb,Unknown 1,10,
D1,Y,2018,Native,Grass,Sedge,10,
D1,N,2018,Invasive,Vine,Japanese Honeysuckle,9,
D1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
D1,N,2018,Invasive,Vine,Japanese Honeysuckle,12,
D1,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
D1,N,2018,Invasive,Vine,Japanese Honeysuckle,24,
D1,N,2018,Invasive,Vine,Japanese Honeysuckle,14,
D1,N,2018,Native,Forb,Hog Peanut,15,
D1,N,2018,Native,Forb,Hog Peanut,12,
D1,N,2018,Native,Forb,Hog Peanut,11,
D1,N,2018,Native,Forb,Hog Peanut,12,
D1,N,2018,Native,Forb,Unknown 1,6,
D1,N,2018,Native,Forb,Unknown 1,10,
D1,N,2018,Native,Forb,Unknown 1,8,
D1,N,2018,Native,Vine,Crossvine,12,
D1,N,2018,Native,Grass,Sedge,12,
D2,Y,2018,Native,Forb,Hog Peanut,18,
D2,Y,2018,Native,Forb,Hog Peanut,16,
D2,Y,2018,Native,Forb,Hog Peanut,13,
D2,Y,2018,Native,Forb,Hog Peanut,10,
D2,Y,2018,Native,Forb,Hog Peanut,23,
D2,Y,2018,Native,Forb,Hog Peanut,10,
D2,Y,2018,Native,Forb,Hog Peanut,15,
D2,Y,2018,Native,Vine,dewberry,12,
D2,Y,2018,Native,Grass,Sedge,20,
D2,Y,2018,Native,Grass,Sedge,10,
D2,Y,2018,Native,Grass,Switchcane,60,
D2,Y,2018,Native,Forb,Unknown 1,5,
D2,N,2018,Native,Forb,Snakeroot,10,
D2,N,2018,Native,Forb,Snakeroot,12,
D2,N,2018,Native,Forb,Snakeroot,9,
D2,N,2018,Native,Forb,Snakeroot,10,
D2,N,2018,Native,Forb,Snakeroot,10,
D2,N,2018,Native,Forb,Snakeroot,11,
D2,N,2018,Native,Forb,Snakeroot,13,
D2,N,2018,Native,Forb,Snakeroot,9,
D2,N,2018,Native,Forb,Snakeroot,24,
D2,N,2018,Native,Forb,Snakeroot,22,
D2,N,2018,Native,Forb,Snakeroot,15,
D2,N,2018,Native,Forb,Snakeroot,42,
D2,N,2018,Native,Forb,Snakeroot,40,
D2,N,2018,Native,Forb,U4,12,
D2,N,2018,Native,Grass,Sedge,14,
D2,N,2018,Native,Vine,dewberry,10,
D3,Y,2018,Native,Grass,River Oats,110,
D3,Y,2018,Native,Forb,Hog Peanut,25,
D3,Y,2018,Native,Forb,Hog Peanut,22,
D3,Y,2018,Native,Forb,Unknown 1,10,
D3,Y,2018,Native,Forb,Unknown 1,8,
D3,Y,2018,Native,Forb,Unknown 1,6,
D3,Y,2018,Native,Forb,Unknown 1,6,
D3,Y,2018,Native,Forb,Unknown 1,9,
D3,Y,2018,Native,Forb,Unknown 1,7,
D3,Y,2018,Native,Forb,Unknown 1,5,
D3,Y,2018,Native,Forb,Unknown 1,4,
D3,Y,2018,Native,Forb,Snakeroot,11,
D3,Y,2018,Native,Forb,Snakeroot,18,
D3,Y,2018,Native,Vine,Poison Ivy,25,
D3,Y,2018,Native,Vine,Poison Ivy,29,
D3,Y,2018,Native,Vine,Poison Ivy,32,
D3,Y,2018,Native,Vine,Poison Ivy,30,
D3,Y,2018,Native,Grass,Sedge,10,
D3,N,2018,Native,Forb,Hog Peanut,10,
D3,N,2018,Native,Forb,Hog Peanut,8,
D3,N,2018,Native,Forb,Hog Peanut,13,
D3,N,2018,Native,Forb,Hog Peanut,8,
D3,N,2018,Native,Forb,Hog Peanut,8,
D3,N,2018,Native,Forb,Hog Peanut,25,
D3,N,2018,Native,Forb,Hog Peanut,10,
D3,N,2018,Native,Vine,Smilax,40,
D3,N,2018,Native,Vine,Smilax,15,
D3,N,2018,Native,Forb,Unknown 1,8,
D3,N,2018,Native,Forb,Unknown 1,5,
D3,N,2018,Native,Forb,Unknown 1,5,
D3,N,2018,Native,Vine,Crossvine,20,
D3,N,2018,Invasive,Vine,Japanese Honeysuckle,22,
D1,N,2019,Native,Forb,Nimble Will,22,
D1,N,2019,Native,Forb,Nimble Will,12,
D1,N,2019,Native,Grass,Sedge,10,
D1,N,2019,Native,Grass,Sedge,22,
D1,N,2019,Native,Grass,Sedge,10,
D1,N,2019,Native,Grass,Sedge,4,
D1,N,2019,Native,Forb,Honewort,25,
D1,N,2019,Native,Forb,Honewort,15,
D1,N,2019,Native,Forb,Honewort,22,
D1,N,2019,Native,Forb,Honewort,15,
D1,N,2019,Native,Forb,Calico aster,36,X
D1,N,2019,Native,Forb,Calico aster,38,X
D1,N,2019,Native,Forb,Calico aster,22,X
D1,N,2019,Native,Forb,Brown-eyed Susan,70,
D1,N,2019,Native,Vine,Poison Ivy,15,
D1,N,2019,Native,Vine,Poison Ivy,22,
D1,N,2019,Native,Vine,Poison Ivy,15,
D1,N,2019,Native,Vine,Poison Ivy,36,
D1,N,2019,Native,Vine,Poison Ivy,26,
D1,N,2019,Native,Vine,Poison Ivy,12,
D1,N,2019,Invasive,Vine,Japanese Honeysuckle,15,
D1,N,2019,Invasive,Vine,Japanese Honeysuckle,12,
D1,N,2019,Invasive,Vine,Japanese Honeysuckle,15,
D1,N,2019,Invasive,Vine,Japanese Honeysuckle,10,
D1,N,2019,Native,Vine,Virginia Creeper,10,
D1,N,2019,Native,Vine,Virginia Creeper,20,
D1,N,2019,Native,Vine,Virginia Creeper,17,
D1,N,2019,Native,Vine,Crossvine,11,
D1,N,2019,Native,Vine,Crossvine,11,
D1,N,2019,Native,Vine,Crossvine,10,
D1,N,2019,Native,Vine,Crossvine,9,
D1,N,2019,Native,Vine,Crossvine,10,
D1,N,2019,Native,Vine,Crossvine,10,
D1,N,2019,Native,Vine,Crossvine,10,
D1,N,2019,Native,Vine,Crossvine,8,
D1,Y,2019,Native,Vine,Poison Ivy,20,
D1,Y,2019,Native,Vine,Poison Ivy,28,
D1,Y,2019,Native,Vine,Poison Ivy,40,
D1,Y,2019,Native,Vine,Poison Ivy,33,
D1,Y,2019,Native,Vine,Poison Ivy,10,
D1,Y,2019,Native,Vine,Poison Ivy,34,
D1,Y,2019,Native,Vine,Poison Ivy,21,
D1,Y,2019,Native,Vine,Poison Ivy,22,
D1,Y,2019,Native,Vine,Poison Ivy,32,
D1,Y,2019,Native,Vine,Poison Ivy,24,
D1,Y,2019,Native,Vine,Poison Ivy,26,
D1,Y,2019,Native,Vine,Poison Ivy,10,
D1,Y,2019,Native,Vine,Poison Ivy,12,
D1,Y,2019,Native,Vine,peppervine,42,
D1,Y,2019,Native,Grass,Sedge,5,
D1,Y,2019,Native,Grass,Sedge,10,
D1,Y,2019,Native,Grass,Sedge,5,
D1,Y,2019,Native,Grass,River Oats,30,
D1,Y,2019,Native,Grass,River Oats,25,
D1,Y,2019,Native,Grass,River Oats,28,
D1,Y,2019,Native,Vine,Crossvine,5,
D1,Y,2019,Native,Vine,Climbing Dogbane,19,
D1,Y,2019,Native,Vine,Climbing Dogbane,10,
D2,Y,2019,Native,Vine,Crossvine,5,
D2,Y,2019,Native,Vine,Crossvine,5,
D2,Y,2019,Native,Vine,Crossvine,19,
D2,Y,2019,Native,Vine,Crossvine,20,
D2,Y,2019,Native,Vine,Crossvine,5,
D2,Y,2019,Native,Vine,Crossvine,2,
D2,Y,2019,Native,Forb,Snakeroot,15,
D2,Y,2019,Native,Forb,Snakeroot,7,
D2,Y,2019,Native,Forb,Snakeroot,5,
D2,Y,2019,Native,Forb,White Snakeroot,15,
D2,Y,2019,Native,Forb,White Snakeroot,15,
D2,Y,2019,Native,Forb,White Snakeroot,5,
D2,Y,2019,Native,Forb,White Snakeroot,5,
D2,Y,2019,Native,Forb,Galaga,11,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Galaga,1,
D2,Y,2019,Native,Forb,Nimble Will,6,
D2,Y,2019,Native,Grass,Switchcane,60,
D2,Y,2019,Native,Grass,Sedge,6,
D2,Y,2019,Native,Grass,Sedge,4,
D2,Y,2019,Native,Grass,Sedge,7,
D2,Y,2019,Native,Grass,Sedge,8,
D2,Y,2019,Native,Grass,Sedge,5,
D2,Y,2019,Native,Grass,Sedge,2,
D2,Y,2019,Native,Vine,Virginia Creeper,15,
D2,Y,2019,Native,Vine,Virginia Creeper,2,
D2,Y,2019,Native,Vine,Virginia Creeper,20,
D2,Y,2019,Native,Vine,Virginia Creeper,20,
D2,Y,2019,Native,Vine,Virginia Creeper,7,
D2,Y,2019,Native,Vine,Virginia Creeper,10,
D2,Y,2019,Native,Vine,Virginia Creeper,15,X
D2,Y,2019,Native,Vine,Dewberry,5,
D2,N,2019,Native,Forb,Snakeroot,10,
D2,N,2019,Native,Forb,Snakeroot,15,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,10,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,22,
D2,N,2019,Native,Forb,Snakeroot,30,
D2,N,2019,Native,Forb,Snakeroot,35,
D2,N,2019,Native,Forb,Snakeroot,40,
D2,N,2019,Native,Forb,Snakeroot,35,
D2,N,2019,Native,Forb,Snakeroot,32,
D2,N,2019,Native,Forb,Snakeroot,32,
D2,N,2019,Native,Forb,Snakeroot,28,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,12,
D2,N,2019,Native,Forb,Snakeroot,12,
D2,N,2019,Native,Forb,Snakeroot,32,
D2,N,2019,Native,Forb,Snakeroot,32,
D2,N,2019,Native,Forb,Snakeroot,20,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,12,
D2,N,2019,Native,Forb,Snakeroot,65,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,25,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Snakeroot,8,
D2,N,2019,Native,Forb,Honewort,18,
D2,N,2019,Native,Vine,Crossvine,32,
D2,N,2019,Native,Vine,Virginia Creeper,4,
D3,Y,2019,Native,Vine,Poison Ivy,32,
D3,Y,2019,Native,Vine,Poison Ivy,25,
D3,Y,2019,Native,Vine,Poison Ivy,27,
D3,Y,2019,Native,Vine,Poison Ivy,50,
D3,Y,2019,Native,Vine,Poison Ivy,30,
D3,Y,2019,Native,Vine,Poison Ivy,27,
D3,Y,2019,Native,Vine,Poison Ivy,38,
D3,Y,2019,Native,Vine,Poison Ivy,17,
D3,Y,2019,Native,Vine,Poison Ivy,12,
D3,Y,2019,Native,Vine,Poison Ivy,36,X
D3,Y,2019,Native,Vine,Poison Ivy,46,X
D3,Y,2019,Native,Vine,Poison Ivy,30,X
D3,Y,2019,Native,Vine,Poison Ivy,48,X
D3,Y,2019,Native,Tree,Hickory,64,X
D3,Y,2019,Native,Forb,Snakeroot,27,
D3,Y,2019,Native,Grass,River Oats,50,
D3,Y,2019,Native,Vine,Crossvine,10,
D3,Y,2019,Native,Vine,Crossvine,10,
D3,Y,2019,Native,Vine,Crossvine,5,
D3,Y,2019,Native,Vine,Crossvine,8,
D3,Y,2019,Native,Forb,Rolia,7,
D3,N,2019,Native,Vine,Poison Ivy,38,
D3,N,2019,Native,Vine,Poison Ivy,24,
D3,N,2019,Native,Vine,Poison Ivy,10,
D3,N,2019,Native,Vine,Poison Ivy,26,
D3,N,2019,Native,Vine,Poison Ivy,17,
D3,N,2019,Native,Vine,Poison Ivy,10,
D3,N,2019,Native,Vine,Poison Ivy,11,
D3,N,2019,Native,Vine,Poison Ivy,15,
D3,N,2019,Native,Vine,Poison Ivy,28,
D3,N,2019,Native,Vine,Poison Ivy,16,
D3,N,2019,Native,Vine,Poison Ivy,19,
D3,N,2019,Native,Vine,Poison Ivy,25,
D3,N,2019,Native,Vine,Poison Ivy,25,
D3,N,2019,Native,Vine,Poison Ivy,22,
D3,N,2019,Native,Vine,Poison Ivy,11,
D3,N,2019,Native,Vine,Poison Ivy,19,
D3,N,2019,Native,Vine,Poison Ivy,16,
D3,N,2019,Native,Vine,Poison Ivy,15,
D3,N,2019,Native,Vine,Poison Ivy,15,
D3,N,2019,Native,Vine,Poison Ivy,39,
D3,N,2019,Native,Grass,Dicahnthelium,32,
D3,N,2019,Native,Vine,Crossvine,12,
D3,N,2019,Native,Vine,Crossvine,11,
D3,N,2019,Native,Vine,Crossvine,13,
D3,N,2019,Native,Vine,Crossvine,10,
D3,N,2019,Native,Vine,Crossvine,6,
D3,N,2019,Native,Vine,Crossvine,6,
D3,N,2019,Native,Forb,Angle Pod,10,
D3,N,2019,Native,Forb,Rolia,20,
D3,N,2019,Native,Forb,Rolia,5,
D3,N,2019,Native,Forb,Calico aster,92,
D3,N,2019,Native,Tree,Green Ash,36,
WS5,Y,2019,Native,Forb,Spanish Needles,150,
WS5,Y,2019,Native,Forb,Spanish Needles,109,
WS5,Y,2019,Native,Forb,Spanish Needles,150,
WS5,Y,2019,Native,Forb,Spanish Needles,90,
WS5,Y,2019,Native,Forb,Spanish Needles,66,
WS5,Y,2019,Native,Forb,Spanish Needles,46,
WS5,Y,2019,Native,Forb,Spanish Needles,62,
WS5,Y,2019,Native,Forb,Spanish Needles,69,
WS5,Y,2019,Native,Forb,Spanish Needles,22,
WS5,Y,2019,Native,Vine,Peppervine,15,
WS5,Y,2019,Native,Vine,Peppervine,32,
WS5,Y,2019,Native,Forb,Goldenrod,15,
WS5,Y,2019,Native,Forb,Goldenrod,15,
WS5,Y,2019,Native,Forb,Morning Glory,25,
WS5,Y,2019,Native,Vine,Climbing Dogbane,25,
WS5,Y,2019,Native,Vine,Climbing Dogbane,20,
WS5,Y,2019,Native,Tree,Green Ash,150,
WS5,Y,2019,Native,Tree,Green Ash,60,
WS5,Y,2019,Native,Tree,Water Oak,27,
WS5,Y,2019,Native,Tree,Water Oak,150,
WS5,Y,2019,Native,Forb,False Nettle,28,
WS5,N,2019,Native,Vine,Poison Ivy,36,
WS5,N,2019,Native,Vine,Poison Ivy,72,
WS5,N,2019,Native,Vine,Poison Ivy,17,
WS5,N,2019,Native,Vine,Poison Ivy,14,
WS5,N,2019,Native,Vine,Poison Ivy,22,
WS5,N,2019,Native,Vine,Poison Ivy,19,
WS5,N,2019,Native,Grass,River Oats,71,
WS5,N,2019,Native,Grass,River Oats,56,
WS5,N,2019,Native,Grass,River Oats,52,
WS5,N,2019,Native,Vine,Blackberry,31,
WS5,N,2019,Native,Vine,Blackberry,29,
WS5,N,2019,Native,Vine,Blackberry,22,
WS5,N,2019,Native,Vine,Blackberry,42,
WS5,N,2019,Native,Vine,Blackberry,51,
WS5,N,2019,Native,Vine,Blackberry,57,
WS5,N,2019,Native,Vine,Blackberry,17,
WS5,N,2019,Native,Vine,Alabama Supplejack,41,
WS5,N,2019,Native,Tree,Loblolly Pine,81,
WS5,N,2019,Native,Tree,Loblolly Pine,36,
WS5,N,2019,Native,Tree,Loblolly Pine,17,
WS5,N,2019,Native,Forb,False Nettle,32,
WS5,N,2019,Native,Forb,Flattop Goldenrod,56,
WS5,N,2019,Native,Forb,Flattop Goldenrod,27,
WS5,N,2019,Native,Forb,Flattop Goldenrod,20,
WS5,N,2019,Native,Vine,Trumpet Creeper,52,X
WS5,N,2019,Invasive,Forb,Sericea Lespedeza,64,
WS5,N,2019,Invasive,Forb,Sericea Lespedeza,58,
WS5,N,2019,Native,Vine,Virginia Creeper,5,
WS5,N,2019,Native,Vine,Virginia Creeper,10,
WS5,N,2019,Native,Vine,Virginia Creeper,7,
WS5,N,2019,Native,Vine,Virginia Creeper,8,
WS5,N,2019,Native,Vine,Virginia Creeper,8,
WS5,N,2019,Native,Vine,Virginia Creeper,8,
WS5,N,2019,Native,Vine,Virginia Creeper,10,
WS5,N,2019,Native,Vine,Virginia Creeper,5,
WS5,N,2019,Native,Forb,Snakeroot,41,
WS5,N,2019,Invasive,Vine,Japanese Honeysuckle,17,
WS5,N,2019,Native,Forb,Common Cinquefoil,5,
WS1,Y,2019,Native,Vine,Trumpet Creeper,45,X
WS1,Y,2019,Native,Vine,Trumpet Creeper,32,X
WS1,Y,2019,Native,Vine,Trumpet Creeper,8,X
WS1,Y,2019,Native,Vine,Trumpet Creeper,5,X
WS1,Y,2019,Native,Vine,Trumpet Creeper,7,X
WS1,Y,2019,Native,Vine,Virginia Creeper,7,X
WS1,Y,2019,Native,Vine,Virginia Creeper,5,X
WS1,Y,2019,Native,Vine,Blackberry,27,X
WS1,Y,2019,Native,Forb,Late Boneset,5,
WS1,Y,2019,Native,Forb,Goldenrod,2,X
WS1,Y,2019,Native,Forb,Burnweed,10,X
WS1,N,2019,Native,Vine,Virginia Creeper,3,
WS1,N,2019,Native,Vine,Virginia Creeper,8,
WS1,N,2019,Native,Tree,Sweetgum,150,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,20,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,19,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,8,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,17,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,5,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,25,
WS1,N,2019,Invasive,Vine,Japanese Honeysuckle,5,
WS1,N,2019,Native,Grass,Dicahnthelium,22,
WS1,N,2019,Native,Grass,Dicahnthelium,31,
WS1,N,2019,Native,Grass,Sedge,6,
WS2,Y,2019,Native,Forb,Spanish Needles,142,
WS2,Y,2019,Native,Forb,Spanish Needles,122,
WS2,Y,2019,Native,Forb,Spanish Needles,100,
WS2,Y,2019,Native,Forb,Spanish Needles,91,
WS2,Y,2019,Native,Forb,Spanish Needles,78,
WS2,Y,2019,Native,Forb,Spanish Needles,22,
WS2,Y,2019,Native,Forb,Spanish Needles,61,
WS2,Y,2019,Native,Vine,Trumpet Creeper,9,
WS2,Y,2019,Native,Vine,Trumpet Creeper,50,X
WS2,Y,2019,Native,Vine,Trumpet Creeper,35,X
WS2,Y,2019,Native,Vine,Trumpet Creeper,28,X
WS2,Y,2019,Native,Vine,Trumpet Creeper,17,X
WS2,Y,2019,Native,Vine,Trumpet Creeper,30,X
WS2,Y,2019,Native,Vine,Trumpet Creeper,6,X
WS2,Y,2019,Native,Vine,Blackberry,10,X
WS2,Y,2019,Native,Forb,Bushy Aster,42,X
WS2,Y,2019,Invasive,Forb,Brazzilian Vervain,25,
WS2,Y,2019,Native,Forb,Camphorweed,11,
WS2,Y,2019,Native,Forb,Late Boneset,11,
WS2,Y,2019,Native,Vine,HempVine,11,
WS2,Y,2019,Native,Vine,HempVine,15,
WS2,Y,2019,Native,Forb,Goldenrod,50,
WS2,Y,2019,Native,Forb,Morning Glory,10,
WS2,N,2019,Native,Vine,Virginia Creeper,10,
WS2,N,2019,Native,Vine,Virginia Creeper,12,
WS2,N,2019,Native,Vine,Virginia Creeper,7,
WS2,N,2019,Native,Vine,Virginia Creeper,15,
WS2,N,2019,Native,Vine,Virginia Creeper,9,
WS2,N,2019,Native,Vine,Virginia Creeper,15,
WS2,N,2019,Native,Vine,Virginia Creeper,15,
WS2,N,2019,Native,Vine,Virginia Creeper,7,
WS2,N,2019,Native,Vine,Virginia Creeper,8,
WS2,N,2019,Native,Vine,Virginia Creeper,10,
WS2,N,2019,Native,Vine,Virginia Creeper,12,
WS2,N,2019,Native,Vine,Virginia Creeper,17,
WS2,N,2019,Native,Forb,Goldenrod,66,
WS2,N,2019,Native,Forb,Goldenrod,57,
WS2,N,2019,Native,Forb,Goldenrod,30,
WS2,N,2019,Native,Vine,HempVine,18,
WS2,N,2019,Native,Vine,HempVine,7,
WS2,N,2019,Native,Vine,HempVine,10,
WS2,N,2019,Native,Vine,HempVine,10,
WS2,N,2019,Native,Vine,HempVine,17,
WS2,N,2019,Native,Forb,Late Boneset,21,
WS2,N,2019,Native,Vine,Climbing Dogbane,17,
WS2,N,2019,Native,Vine,Climbing Dogbane,15,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,7,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,18,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,15,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,12,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,15,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,7,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,7,
WS2,N,2019,Invasive,Vine,Japanese Honeysuckle,10,
WS3,Y,2019,Native,Vine,Blackberry,50,
WS3,Y,2019,Native,Vine,Blackberry,66,
WS3,Y,2019,Native,Vine,Blackberry,65,
WS3,Y,2019,Native,Vine,Blackberry,12,
WS3,Y,2019,Native,Vine,Blackberry,24,
WS3,Y,2019,Native,Vine,Blackberry,25,
WS3,Y,2019,Native,Vine,Blackberry,24,X
WS3,Y,2019,Native,Vine,Blackberry,42,X
WS3,Y,2019,Native,Forb,Goldenrod,35,
WS3,Y,2019,Native,Forb,Goldenrod,56,
WS3,Y,2019,Native,Forb,Goldenrod,62,
WS3,Y,2019,Native,Forb,Goldenrod,28,
WS3,Y,2019,Native,Forb,Goldenrod,39,
WS3,Y,2019,Native,Forb,Goldenrod,5,
WS3,Y,2019,Native,Forb,Flattop Goldenrod,15,
WS3,Y,2019,Native,Forb,Morning Glory,10,
WS3,Y,2019,Native,Forb,Morning Glory,6,
WS3,Y,2019,Native,Forb,Wingstem,10,
WS3,Y,2019,Native,Forb,Wingstem,12,
WS3,Y,2019,Native,Vine,Muscadine,4,
WS3,Y,2019,Native,Vine,Poison Ivy,5,
WS3,Y,2019,Native,Vine,Poison Ivy,4,
WS3,Y,2019,Native,Vine,Poison Ivy,6,
WS3,N,2019,Native,Tree,Loblolly Pine,50,
WS3,N,2019,Native,Tree,Loblolly Pine,42,
WS3,N,2019,Native,Tree,Eastern Red Cedar,10,
WS3,N,2019,Native,Forb,Primrose Willow,42,X
WS3,N,2019,Native,Forb,Desmodium,30,
WS3,N,2019,Native,Forb,Goldenrod,66,
WS3,N,2019,Native,Forb,Goldenrod,68,
WS3,N,2019,Native,Forb,Goldenrod,61,
WS3,N,2019,Native,Forb,Goldenrod,68,
WS3,N,2019,Native,Forb,Prairie Rosinweed,30,
WS3,N,2019,Native,Forb,Gallium,12,
WS3,N,2019,Native,Forb,Gallium,7,
WS3,N,2019,Native,Forb,Gallium,5,
WS3,N,2019,Native,Forb,Gallium,6,
WS3,N,2019,Native,Vine,Blackberry,17,
WS3,N,2019,Native,Vine,Blackberry,22,
WS3,N,2019,Native,Vine,Blackberry,15,
WS3,N,2019,Native,Forb,Carolina Horse Nettle,5,
WS3,N,2019,Invasive,Vine,Japanese Honeysuckle,5,
WS3,N,2019,Native,Forb,Sweet Everlasting,2,
WS3,N,2019,Native,Forb,Sweet Everlasting,2,
WS3,N,2019,Native,Forb,Sweet Everlasting,2,
WS8,Y,2019,Native,Grass,Sedge,4,
